time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
80,8,0.7547,0.8531,6,0.8654,0.9118
80,9,0.6813,0.8344,9,0.8,0.8378
80,10,0.5789,0.9938,2,0.4379,0.8879
80,11,0.6586,0.8625,9,0.8476,0.8992
80,12,0.3344,0.5437,24,0.6608,0.8356
80,13,0.36,0.9094,5,0.5115,0.8726
80,14,0.7289,0.975,3,0.7596,0.8475
80,15,0.4969,0.75,9,0.5797,0.8875
80,16,0.3891,0.4594,38,0.6631,0.7803
80,17,0.6188,0.75,15,0.7691,0.8125
80,18,0.4219,0.6281,12,0.848,0.8992
80,19,0.4875,0.6,15,0.8239,0.8828
80,20,0.1875,0.225,53,0.6413,0.7863
80,21,0.15,0.1594,51,0.7579,0.8104
80,22,0.3375,0.4781,30,0.8168,0.8204
80,23,0.2938,0.4125,30,0.5642,0.8696
80,24,0.2906,0.4969,33,0.5147,0.8546
80,25,0.3469,0.6469,27,0.7547,0.7868
80,26,0.2156,0.3281,51,0.4023,0.7628
80,27,0.225,0.3469,51,0.378,0.756
85,0,0.7313,0.7969,9,0.84,0.8615
85,1,0.6638,0.8438,6,0.7964,0.88
85,2,0.9531,0.9938,2,0.414,0.8421
85,3,0.6937,0.9187,6,0.8301,0.8759
85,4,0.6437,0.7781,12,0.8129,0.8673
85,5,0.8531,0.9938,2,0.5751,0.9016
85,6,0.8187,0.9938,2,0.5543,0.8421
85,7,0.8469,0.9938,2,0.4541,0.7372
85,8,0.7594,0.9094,6,0.8566,0.8983
85,9,0.6562,0.7969,9,0.8468,0.8696
85,10,0.5695,0.9938,2,0.4411,0.8938
85,11,0.682,0.9094,6,0.8638,0.9118
85,12,0.3156,0.4969,33,0.596,0.795
85,13,0.3712,0.9094,5,0.4417,0.895
85,14,0.7453,0.9844,3,0.6889,0.8491
85,15,0.5094,0.7875,12,0.5682,0.8812
85,16,0.4172,0.5062,38,0.603,0.7595
85,17,0.6703,0.825,24,0.7083,0.8452
85,18,0.3984,0.5813,12,0.8417,0.9104
85,19,0.4453,0.5531,24,0.8052,0.8322
85,20,0.1922,0.2062,53,0.6352,0.7913
85,21,0.1734,0.1781,72,0.6993,0.7293
85,22,0.3563,0.525,24,0.8345,0.8421
85,23,0.3094,0.4219,24,0.6284,0.8929
85,24,0.3063,0.4969,33,0.534,0.8443
85,25,0.3586,0.6562,30,0.7367,0.7801
85,26,0.2203,0.3375,48,0.4077,0.7736
85,27,0.2297,0.3563,39,0.4053,0.8107
90,0,0.7562,0.7969,9,0.7687,0.8875
90,1,0.7013,0.9,3,0.8292,0.9143
90,2,0.95,0.9938,2,0.5389,0.8235
90,3,0.7195,0.9375,3,0.8656,0.8846
90,4,0.65,0.8344,9,0.7882,0.8302
90,5,0.85,0.9656,3,0.8017,0.8846
90,6,0.8219,0.9656,3,0.7646,0.8033
90,7,0.8594,0.9844,3,0.544,0.832
90,8,0.743,0.8625,9,0.8142,0.8442
90,9,0.675,0.8438,6,0.8229,0.88
90,10,0.5695,0.9938,2,0.4348,0.8737
90,11,0.6867,0.9094,6,0.8409,0.8732
90,12,0.3281,0.5344,33,0.6982,0.7785
90,13,0.3694,0.9094,6,0.4338,0.88
90,14,0.75,0.9844,3,0.714,0.8326
90,15,0.5031,0.7406,9,0.5848,0.8989
90,16,0.4641,0.5813,27,0.593,0.7985
90,17,0.7734,0.9094,9,0.7802,0.8707
90,18,0.4406,0.6094,33,0.7543,0.7725
90,19,0.4313,0.5156,38,0.7698,0.7847
90,20,0.1688,0.1875,53,0.6462,0.7962
90,21,0.1641,0.1781,60,0.715,0.7719
90,22,0.3469,0.5062,27,0.8049,0.8291
90,23,0.3125,0.4406,30,0.6353,0.8696
90,24,0.3031,0.5062,24,0.566,0.8868
90,25,0.375,0.6656,30,0.7293,0.7614
90,26,0.225,0.375,27,0.4426,0.865
90,27,0.2156,0.3469,29,0.4357,0.8612
95,0,0.7969,0.8438,12,0.7574,0.8605
95,1,0.7106,0.9187,6,0.8021,0.8989
95,2,0.9437,0.9938,2,0.5426,0.8421
95,3,0.7313,0.9563,3,0.8091,0.8393
95,4,0.6469,0.8719,6,0.8351,0.8537
95,5,0.8844,0.9938,2,0.5921,0.8916
95,6,0.8531,0.9844,3,0.5897,0.819
